;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
85;Hüppe;Hubert;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
86;Jarzombek;Thomas;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
99;Kiesewetter;Roderich;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
102;Klein;Volkmar;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
104;Knoerig;Axel;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
105;Koeppen;Jens;CDU/CSU;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
111;Krichbaum;Gunther;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
112;Krings;Günter;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
121;Lange;Ulrich;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
123;Lehrieder;Paul;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
127;Linnemann;Carsten;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
128;Lips;Patricia;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
